时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-15 09:30:00,0.0,29.6,29.6,29.6,3811,11280560.0,29.6
2026-01-15 09:31:00,0.0,29.01,29.77,29.0,10634,31196078.0,29.406
2026-01-15 09:32:00,0.0,28.65,28.97,28.35,16170,46289478.0,28.994
2026-01-15 09:33:00,0.0,28.85,28.98,28.55,10667,30722486.0,28.945
2026-01-15 09:34:00,0.0,28.39,28.8,28.39,11631,33243633.0,28.865
2026-01-15 09:35:00,0.0,27.83,28.45,27.82,31121,87826502.0,28.626
2026-01-15 09:36:00,0.0,28.27,28.27,27.65,22777,63637986.0,28.48
2026-01-15 09:37:00,0.0,28.46,28.46,28.11,11591,32725745.0,28.456
2026-01-15 09:38:00,0.0,28.05,28.5,28.05,9513,26914307.0,28.444
2026-01-15 09:39:00,0.0,28.0,28.03,27.87,11772,32912849.0,28.403
2026-01-15 09:40:00,0.0,27.84,27.97,27.84,12590,35103210.0,28.36
2026-01-15 09:41:00,0.0,27.94,27.94,27.77,12075,33592087.0,28.32
2026-01-15 09:42:00,0.0,28.3,28.3,27.81,7956,22323164.0,28.308
2026-01-15 09:43:00,0.0,28.34,28.42,28.26,9589,27151625.0,28.309
2026-01-15 09:44:00,0.0,28.2,28.37,28.2,4949,13993524.0,28.308
2026-01-15 09:45:00,0.0,28.08,28.23,28.08,5431,15300695.0,28.304
2026-01-15 09:46:00,0.0,27.98,28.06,27.92,3845,10756612.0,28.297
2026-01-15 09:47:00,0.0,27.9,27.98,27.88,5761,16084794.0,28.287
2026-01-15 09:48:00,0.0,27.94,27.95,27.85,5834,16272229.0,28.276
2026-01-15 09:49:00,0.0,28.02,28.02,27.93,2463,6885748.0,28.272
2026-01-15 09:50:00,0.0,27.95,28.05,27.95,6075,16988728.0,28.263
2026-01-15 09:51:00,0.0,27.89,27.92,27.84,6134,17095797.0,28.252
2026-01-15 09:52:00,0.0,27.94,27.96,27.86,2887,8063231.0,28.248
2026-01-15 09:53:00,0.0,27.92,27.99,27.9,4349,12151118.0,28.242
2026-01-15 09:54:00,0.0,28.05,28.05,27.92,3319,9281549.0,28.238
2026-01-15 09:55:00,0.0,28.14,28.24,28.04,3407,9594893.0,28.237
2026-01-15 09:56:00,0.0,28.09,28.17,28.09,2103,5914738.0,28.236
2026-01-15 09:57:00,0.0,28.18,28.27,28.09,2896,8160098.0,28.236
2026-01-15 09:58:00,0.0,28.09,28.19,28.09,2592,7295138.0,28.235
2026-01-15 09:59:00,0.0,28.56,28.6,28.11,6044,17105363.0,28.236
2026-01-15 10:00:00,0.0,28.5,28.65,28.48,4091,11687711.0,28.242
2026-01-15 10:01:00,0.0,28.51,28.7,28.49,8617,24641515.0,28.253
2026-01-15 10:02:00,0.0,28.27,28.51,28.27,3163,8982675.0,28.255
2026-01-15 10:03:00,0.0,28.25,28.35,28.25,2635,7456523.0,28.255
2026-01-15 10:04:00,0.0,28.19,28.25,28.18,2753,7769324.0,28.255
2026-01-15 10:05:00,0.0,28.24,28.25,28.16,2949,8316471.0,28.255
2026-01-15 10:06:00,0.0,28.11,28.2,28.11,2790,7860264.0,28.254
2026-01-15 10:07:00,0.0,28.2,28.21,28.1,3052,8594648.0,28.253
2026-01-15 10:08:00,0.0,28.09,28.19,28.09,4159,11702633.0,28.251
2026-01-15 10:09:00,0.0,28.09,28.11,28.09,3130,8794106.0,28.249
2026-01-15 10:10:00,0.0,28.25,28.25,28.1,2590,7301242.0,28.249
2026-01-15 10:11:00,0.0,28.23,28.25,28.2,2353,6643179.0,28.249
2026-01-15 10:12:00,0.0,28.28,28.39,28.17,3562,10070784.0,28.249
2026-01-15 10:13:00,0.0,28.24,28.28,28.2,1765,4984988.0,28.249
2026-01-15 10:14:00,0.0,28.18,28.27,28.18,1947,5496411.0,28.249
2026-01-15 10:15:00,0.0,28.32,28.35,28.18,3423,9680768.0,28.249
2026-01-15 10:16:00,0.0,28.22,28.32,28.22,944,2669183.0,28.249
2026-01-15 10:17:00,0.0,28.27,28.29,28.19,2287,6455047.0,28.249
2026-01-15 10:18:00,0.0,28.48,28.53,28.27,3539,10062759.0,28.251
2026-01-15 10:19:00,0.0,28.41,28.46,28.39,1354,3847284.0,28.252
2026-01-15 10:20:00,0.0,28.52,28.52,28.42,2289,6519424.0,28.254
2026-01-15 10:21:00,0.0,28.53,28.56,28.5,2466,7033838.0,28.256
2026-01-15 10:22:00,0.0,28.6,28.6,28.47,2574,7342174.0,28.258
2026-01-15 10:23:00,0.0,28.41,28.61,28.41,2813,8028066.0,28.26
2026-01-15 10:24:00,0.0,28.45,28.46,28.4,1720,4886921.0,28.261
2026-01-15 10:25:00,0.0,28.37,28.46,28.37,993,2821412.0,28.262
2026-01-15 10:26:00,0.0,28.3,28.36,28.3,926,2622674.0,28.262
2026-01-15 10:27:00,0.0,28.23,28.32,28.23,2014,5696631.0,28.262
2026-01-15 10:28:00,0.0,28.23,28.27,28.18,2469,6962787.0,28.261
2026-01-15 10:29:00,0.0,28.18,28.25,28.18,1513,4267803.0,28.261
2026-01-15 10:30:00,0.0,28.2,28.2,28.15,3150,8872902.0,28.26
2026-01-15 10:31:00,0.0,28.25,28.25,28.15,1454,4098803.0,28.26
2026-01-15 10:32:00,0.0,28.15,28.25,28.14,1883,5304656.0,28.259
2026-01-15 10:33:00,0.0,28.17,28.21,28.14,2186,6158133.0,28.259
2026-01-15 10:34:00,0.0,28.15,28.2,28.15,1858,5233804.0,28.258
2026-01-15 10:35:00,0.0,28.33,28.35,28.17,1424,4022619.0,28.258
2026-01-15 10:36:00,0.0,28.23,28.35,28.23,988,2794508.0,28.258
2026-01-15 10:37:00,0.0,28.22,28.25,28.18,982,2769168.0,28.258
2026-01-15 10:38:00,0.0,28.17,28.24,28.17,939,2648698.0,28.258
2026-01-15 10:39:00,0.0,28.16,28.21,28.14,1429,4024406.0,28.258
2026-01-15 10:40:00,0.0,28.15,28.16,28.14,1328,3738372.0,28.257
2026-01-15 10:41:00,0.0,28.22,28.25,28.15,1703,4801688.0,28.257
2026-01-15 10:42:00,0.0,28.24,28.25,28.2,1963,5538775.0,28.257
2026-01-15 10:43:00,0.0,28.15,28.24,28.15,1012,2852551.0,28.257
2026-01-15 10:44:00,0.0,28.22,28.22,28.1,3293,9263546.0,28.256
2026-01-15 10:45:00,0.0,28.21,28.27,28.2,2084,5880069.0,28.255
2026-01-15 10:46:00,0.0,28.24,28.29,28.19,1234,3484671.0,28.255
2026-01-15 10:47:00,0.0,28.16,28.25,28.15,895,2523721.0,28.255
2026-01-15 10:48:00,0.0,28.25,28.25,28.17,1050,2959923.0,28.255
2026-01-15 10:49:00,0.0,28.29,28.29,28.19,1302,3674134.0,28.255
2026-01-15 10:50:00,0.0,28.25,28.31,28.22,1684,4757820.0,28.255
2026-01-15 10:51:00,0.0,28.23,28.3,28.2,749,2116890.0,28.255
2026-01-15 10:52:00,0.0,28.27,28.28,28.22,1001,2828407.0,28.255
2026-01-15 10:53:00,0.0,28.29,28.29,28.23,1189,3359877.0,28.255
2026-01-15 10:54:00,0.0,28.23,28.26,28.23,1120,3164511.0,28.255
2026-01-15 10:55:00,0.0,28.2,28.23,28.2,883,2490979.0,28.255
2026-01-15 10:56:00,0.0,28.14,28.21,28.14,2247,6330048.0,28.254
2026-01-15 10:57:00,0.0,28.08,28.14,28.08,1953,5488327.0,28.253
2026-01-15 10:58:00,0.0,28.02,28.09,28.02,1839,5158785.0,28.252
