时间,开盘,收盘,最高,最低,成交量,成交额,均价
2026-01-16 09:30:00,260.03,260.03,260.03,260.03,3414,88774242.0,260.03
2026-01-16 09:31:00,260.03,258.83,260.05,258.0,9207,238928016.0,259.648
2026-01-16 09:32:00,258.16,257.84,258.79,257.5,6022,155560122.0,259.219
2026-01-16 09:33:00,257.79,259.45,259.54,257.79,4421,114435206.0,259.15
2026-01-16 09:34:00,259.44,258.77,259.44,258.7,3571,92472974.0,259.124
2026-01-16 09:35:00,258.74,260.31,260.4,258.74,4356,113091728.0,259.195
2026-01-16 09:36:00,260.97,258.97,261.56,258.97,5189,135134224.0,259.371
2026-01-16 09:37:00,258.4,257.94,258.4,257.86,3069,79229313.0,259.274
2026-01-16 09:38:00,257.94,259.2,259.23,257.66,3031,78334799.0,259.215
2026-01-16 09:39:00,259.18,260.8,260.8,258.88,3649,94866163.0,259.275
2026-01-16 09:40:00,260.86,263.0,263.0,260.16,7768,203071781.0,259.586
2026-01-16 09:41:00,263.0,262.28,263.2,262.28,5486,144139695.0,259.879
2026-01-16 09:42:00,262.0,262.66,262.66,261.21,3126,81836106.0,259.975
2026-01-16 09:43:00,262.6,262.67,262.93,262.6,3222,84648434.0,260.11
2026-01-16 09:44:00,262.73,261.8,263.0,261.6,3192,83803417.0,260.225
2026-01-16 09:45:00,262.38,262.51,263.8,262.24,7193,189273560.0,260.499
2026-01-16 09:46:00,262.48,262.32,262.76,261.85,2262,59367043.0,260.556
2026-01-16 09:47:00,262.12,263.54,263.56,262.12,2566,67521467.0,260.639
2026-01-16 09:48:00,263.65,263.54,264.39,263.54,4341,114573562.0,260.809
2026-01-16 09:49:00,263.49,263.42,263.89,263.4,2916,76864629.0,260.902
2026-01-16 09:50:00,263.35,264.29,264.3,263.0,2972,78425712.0,260.999
2026-01-16 09:51:00,264.28,264.51,264.6,264.28,3403,89955002.0,261.12
2026-01-16 09:52:00,264.64,265.34,265.52,264.64,6741,178609551.0,261.377
2026-01-16 09:53:00,265.55,264.6,265.77,264.38,4010,106322135.0,261.521
2026-01-16 09:54:00,264.29,263.51,264.29,263.22,2250,59331394.0,261.566
2026-01-16 09:55:00,263.79,263.48,264.2,263.48,2352,62068839.0,261.616
2026-01-16 09:56:00,263.39,262.37,263.39,262.37,1887,49620133.0,261.639
2026-01-16 09:57:00,262.32,262.42,262.48,262.01,1769,46395537.0,261.649
2026-01-16 09:58:00,262.45,262.75,262.75,262.45,1775,46608266.0,261.663
2026-01-16 09:59:00,262.7,262.01,262.7,261.38,3008,78792662.0,261.669
2026-01-16 10:00:00,262.0,261.77,262.01,261.33,2613,68363662.0,261.668
2026-01-16 10:01:00,261.95,262.8,262.8,261.95,1885,49439570.0,261.677
2026-01-16 10:02:00,262.69,261.98,262.8,261.98,1242,32589914.0,261.684
2026-01-16 10:03:00,261.96,261.67,261.96,261.61,1311,34327775.0,261.685
2026-01-16 10:04:00,261.65,261.26,261.76,261.26,1469,38431825.0,261.684
2026-01-16 10:05:00,261.26,262.33,262.49,261.23,1687,44163968.0,261.685
2026-01-16 10:06:00,262.33,263.57,263.57,262.23,1278,33572689.0,261.695
2026-01-16 10:07:00,263.68,264.58,264.58,263.68,2232,59015695.0,261.741
2026-01-16 10:08:00,264.53,264.05,264.61,264.05,2000,52886893.0,261.781
2026-01-16 10:09:00,264.1,264.04,264.81,264.04,2731,72245739.0,261.835
2026-01-16 10:10:00,264.0,263.1,264.02,263.05,917,24160086.0,261.846
2026-01-16 10:11:00,263.1,264.76,264.78,263.1,2773,73274892.0,261.894
2026-01-16 10:12:00,264.8,264.38,264.96,264.38,2134,56519704.0,261.938
2026-01-16 10:13:00,264.3,264.98,264.98,264.03,3085,81659332.0,261.997
2026-01-16 10:14:00,264.98,264.99,264.99,264.89,2643,70033129.0,262.05
2026-01-16 10:15:00,264.96,264.98,264.99,264.31,2158,57134894.0,262.089
2026-01-16 10:16:00,264.94,265.0,265.0,264.31,1954,51726250.0,262.123
2026-01-16 10:17:00,265.0,265.81,265.88,265.0,3817,101362079.0,262.207
2026-01-16 10:18:00,265.85,266.65,266.9,265.8,6609,175990988.0,262.373
2026-01-16 10:19:00,266.66,265.41,266.66,265.39,2273,60452379.0,262.422
2026-01-16 10:20:00,265.37,265.41,265.78,265.03,1549,41112254.0,262.45
2026-01-16 10:21:00,265.62,265.83,265.91,265.44,1134,30129125.0,262.472
2026-01-16 10:22:00,265.74,265.78,265.98,265.7,1134,30137985.0,262.494
2026-01-16 10:23:00,265.77,265.03,265.77,265.03,1068,28368576.0,262.514
2026-01-16 10:24:00,265.03,264.0,265.03,264.0,1482,39207508.0,262.531
2026-01-16 10:25:00,264.0,263.59,264.0,263.59,1428,37688064.0,262.543
2026-01-16 10:26:00,263.77,264.61,264.8,263.68,1668,44090686.0,262.56
2026-01-16 10:27:00,264.4,266.47,266.47,264.37,4871,129094736.0,262.627
2026-01-16 10:28:00,266.45,265.51,266.46,265.35,1221,32490585.0,262.65
2026-01-16 10:29:00,266.01,266.26,266.3,266.0,2380,63332393.0,262.695
2026-01-16 10:30:00,266.0,265.85,266.13,265.5,605,16084818.0,262.706
2026-01-16 10:31:00,265.99,266.86,266.86,265.87,2691,71677001.0,262.759
2026-01-16 10:32:00,266.87,266.72,266.9,266.69,1888,50377919.0,262.8
2026-01-16 10:33:00,266.71,267.5,267.54,266.7,4390,117225309.0,262.896
2026-01-16 10:34:00,267.54,267.2,267.7,266.89,2110,56416646.0,262.945
2026-01-16 10:35:00,267.2,266.72,267.75,266.72,3448,92215853.0,263.023
2026-01-16 10:36:00,266.75,266.61,266.93,266.51,1459,38903575.0,263.05
2026-01-16 10:37:00,266.61,267.7,267.7,266.51,1228,32806733.0,263.075
2026-01-16 10:38:00,267.7,267.66,267.7,267.5,1484,39719273.0,263.109
2026-01-16 10:39:00,267.67,267.67,267.67,267.35,1867,49967807.0,263.15
2026-01-16 10:40:00,267.74,268.5,268.5,267.74,4389,117594666.0,263.251
2026-01-16 10:41:00,268.54,268.36,268.68,268.36,2280,61216589.0,263.308
2026-01-16 10:42:00,268.37,268.14,268.5,268.14,1844,49492417.0,263.352
2026-01-16 10:43:00,268.1,266.8,268.1,266.7,1832,49000709.0,263.387
2026-01-16 10:44:00,266.72,266.51,266.81,266.51,1257,33529056.0,263.406
2026-01-16 10:45:00,266.43,265.8,266.45,265.8,1319,35098087.0,263.422
2026-01-16 10:46:00,265.8,266.66,266.66,265.78,1154,30702710.0,263.436
2026-01-16 10:47:00,266.7,266.75,267.07,266.7,796,21258742.0,263.449
2026-01-16 10:48:00,266.85,266.29,266.96,266.29,1145,30540087.0,263.466
2026-01-16 10:49:00,266.44,266.21,266.44,266.2,582,15507380.0,263.474
2026-01-16 10:50:00,266.22,266.82,266.82,266.01,697,18566292.0,263.482
2026-01-16 10:51:00,266.81,267.17,267.22,266.81,665,17758653.0,263.493
2026-01-16 10:52:00,267.21,267.98,268.0,267.2,980,26224208.0,263.511
2026-01-16 10:53:00,268.0,267.34,268.01,267.34,1207,32336512.0,263.535
2026-01-16 10:54:00,267.33,267.15,267.48,267.15,542,14490732.0,263.544
2026-01-16 10:55:00,267.3,267.0,267.59,266.52,1226,32728983.0,263.563
2026-01-16 10:56:00,267.0,266.8,267.0,266.62,726,19375250.0,263.573
2026-01-16 10:57:00,266.74,266.0,266.99,266.0,779,20778858.0,263.584
2026-01-16 10:58:00,266.15,265.62,266.15,265.62,1416,37649742.0,263.598
2026-01-16 10:59:00,265.62,266.15,266.15,265.56,870,23110948.0,263.606
2026-01-16 11:00:00,266.37,266.97,266.98,266.37,384,10242054.0,263.611
2026-01-16 11:01:00,266.98,267.99,267.99,266.98,1320,35287110.0,263.632
2026-01-16 11:02:00,268.12,269.0,269.0,268.12,4153,111542395.0,263.719
2026-01-16 11:03:00,269.08,269.81,269.81,269.08,2119,57076282.0,263.769
2026-01-16 11:04:00,269.84,269.71,269.95,269.7,2058,55537435.0,263.822
2026-01-16 11:05:00,269.71,271.33,271.5,269.71,11566,312539904.0,264.116
2026-01-16 11:06:00,271.58,271.8,272.5,271.58,3915,106521527.0,264.238
2026-01-16 11:07:00,271.8,271.19,271.9,271.02,3057,82955809.0,264.323
2026-01-16 11:08:00,271.14,270.51,271.62,270.44,2106,57125231.0,264.379
2026-01-16 11:09:00,270.0,270.1,271.14,269.78,1755,47465067.0,264.419
2026-01-16 11:10:00,270.05,269.6,270.05,269.11,1341,36137793.0,264.445
2026-01-16 11:11:00,269.6,269.07,269.6,269.0,1691,45519520.0,264.475
2026-01-16 11:12:00,269.1,269.31,269.31,269.0,830,22341701.0,264.49
2026-01-16 11:13:00,269.32,268.81,269.58,268.68,1759,47344431.0,264.521
2026-01-16 11:14:00,268.91,269.88,270.02,268.91,1130,30476820.0,264.543
2026-01-16 11:15:00,269.76,269.33,270.0,269.3,798,21512748.0,264.557
2026-01-16 11:16:00,269.3,269.24,269.66,269.22,674,18154895.0,264.569
2026-01-16 11:17:00,269.22,269.29,269.5,269.13,818,22024535.0,264.584
2026-01-16 11:18:00,269.13,270.0,270.0,269.1,1427,38463297.0,264.609
2026-01-16 11:19:00,269.99,269.22,270.01,269.01,773,20849646.0,264.624
2026-01-16 11:20:00,269.28,270.59,270.68,269.28,1138,30755033.0,264.647
2026-01-16 11:21:00,270.95,271.5,271.5,270.95,1810,49112656.0,264.69
2026-01-16 11:22:00,271.53,272.3,272.3,271.53,3123,84963076.0,264.773
2026-01-16 11:23:00,272.5,274.0,274.0,272.5,6010,164188337.0,264.95
2026-01-16 11:24:00,274.06,273.44,274.62,273.44,2199,60274101.0,265.02
2026-01-16 11:25:00,273.43,273.56,273.88,273.2,1416,38705182.0,265.061
2026-01-16 11:26:00,273.66,274.59,274.6,273.4,2153,58970676.0,265.126
2026-01-16 11:27:00,274.68,274.53,275.0,274.3,5160,141793423.0,265.295
2026-01-16 11:28:00,274.53,273.61,274.56,273.6,1537,42170358.0,265.341
2026-01-16 11:29:00,273.6,273.9,274.0,273.44,1769,48399265.0,265.39
2026-01-16 11:30:00,273.8,273.02,273.97,273.0,1914,52377060.0,265.443
