trade_date,stock_code,stock_name,buyer_seat_name,buy_amount,sell_amount,hot_money
2025-12-17,603709,中源家居,东方财富证券股份有限公司拉萨团结路第一证券营业部,14373200.44,,拉萨天团(散户)
2025-12-17,002639,雪人集团,国信证券股份有限公司浙江互联网分公司,72286272.49,62374241.0,
2025-12-17,002703,浙江世宝,联储证券股份有限公司宁波分公司,22218757.0,23932078.92,
2025-12-17,002703,浙江世宝,华鑫证券有限责任公司上海分公司,22340225.0,21220976.99,
2025-12-17,002703,浙江世宝,东北证券股份有限公司杭州市心北路证券营业部,30422494.8,33435190.24,
2025-12-17,002703,浙江世宝,国盛证券有限责任公司宁波桑田路证券营业部,43393156.0,449715.0,
2025-12-17,002703,浙江世宝,深股通专用,46557630.54,10201284.07,
2025-12-17,002639,雪人集团,机构专用,53244855.04,68332146.08,机构
2025-12-17,002639,雪人集团,东方财富证券股份有限公司拉萨团结路第一证券营业部,57918934.0,32351958.5,拉萨天团(散户)
2025-12-17,002639,雪人集团,东方财富证券股份有限公司拉萨金融城南环路证券营业部,61785474.08,38213907.0,拉萨天团(散户)
2025-12-17,002639,雪人集团,深股通专用,191581148.78,334418545.34,
2025-12-17,002759,天际股份,中国银河证券股份有限公司大连黄河路证券营业部,88114080.0,144798.0,陈小群
2025-12-17,002565,顺灏股份,中国国际金融股份有限公司上海分公司,56748886.2,31149342.98,量化打板(Quant)
2025-12-17,002565,顺灏股份,华鑫证券有限责任公司上海宛平南路证券营业部,67849585.67,454862.0,
2025-12-17,002565,顺灏股份,机构专用,109328701.44,66696324.79,机构
2025-12-17,002471,中超控股,东方财富证券股份有限公司拉萨金融城南环路证券营业部,20441112.0,17263268.0,拉萨天团(散户)
2025-12-17,002471,中超控股,东方财富证券股份有限公司拉萨团结路第一证券营业部,21143501.0,18890666.44,拉萨天团(散户)
2025-12-17,002471,中超控股,广发证券股份有限公司广州康王中路证券营业部,24951698.0,102970.0,
2025-12-17,002471,中超控股,国信证券股份有限公司浙江互联网分公司,28661886.0,24796891.0,
2025-12-17,002471,中超控股,广发证券股份有限公司深圳后海证券营业部,99783186.1,61396.0,
2025-12-17,002759,天际股份,国投证券股份有限公司西安朱雀大街证券营业部,94497688.0,0.0,
2025-12-17,002759,天际股份,机构专用,66558411.0,165476748.87,机构
2025-12-17,300551,古鳌科技,华鑫证券有限责任公司湖州大线场路证券营业部,17779440.0,0.0,
2025-12-17,002853,皮阿诺,中信证券股份有限公司杭州凤起路证券营业部,17935548.0,18595423.0,
2025-12-17,300551,古鳌科技,机构专用,37689579.88,11866274.0,机构
2025-12-17,300551,古鳌科技,开源证券股份有限公司西安西大街证券营业部,73304511.0,75413.0,
2025-12-17,127042,嘉美转债,东北证券股份有限公司上海局门路证券营业部,11197514.58,0.0,
